customer_id,customer_name,email,phone,area,pincode,registration_date,customer_segment
32293017,Samarth Kapoor,mandalmohammed@example.org,9.13364E+11,Gudivada,371366,2024-01-21,Inactive
49241309,Pahal Palla,wrideshmannan@example.net,9.18806E+11,Gurgaon,751303,2024-06-19,Inactive
85016568,Rudra Mall,nandra@example.com,9.1799E+11,Tinsukia,355326,2024-07-17,Regular
62416456,Diya Chakrabarti,bhavanikala@example.com,9.19634E+11,Medininagar,121675,2023-09-25,Inactive
67386193,Wakeeta Khurana,pillaifariq@example.net,9.19266E+11,Pali,488313,2024-06-01,Regular
46836361,Champak Nazareth,gabrielkapadia@example.org,9.12144E+11,Bikaner,287396,2023-11-22,Premium
89784343,Radhika Kaul,vidhimitra@example.net,9.1143E+11,Dibrugarh,451264,2024-04-02,Premium
97259564,Watika Narayanan,soommen@example.com,9.14466E+11,Khammam,14378,2024-02-18,Premium
55803572,Champak Palla,gbail@example.net,9.17358E+11,Rewa,391552,2023-03-27,Premium
22738465,Gabriel Oak,advayluthra@example.com,9.18379E+11,Narasaraopet,890953,2023-07-02,Inactive
88520326,Chasmum Dhaliwal,sarora@example.org,9.12278E+11,Asansol,37026,2023-11-26,Premium
99361865,Ekantika Ravel,bhasinsiddharth@example.com,9.11376E+11,Berhampur,172106,2023-05-21,New
29562072,Edhitha Ranganathan,yashawini55@example.net,9.14683E+11,Hindupur,976259,2023-08-10,New
41008070,Libni Dua,kariwyatt@example.net,9.14054E+11,Vijayawada,129888,2024-05-01,New
42262168,Mason Iyengar,nisha39@example.net,9.18383E+11,Avadi,606137,2024-02-23,Regular
9573071,Ranveer Mahal,phegde@example.org,9.12293E+11,Thrissur,856100,2023-11-07,New
8791577,Warda Kohli,madhavigandhi@example.com,9.10162E+11,Madhyamgram,999631,2023-08-29,Regular
16561710,Isaiah Natt,amrita65@example.org,9.14278E+11,Baranagar,881409,2023-09-16,New
60700850,Ishwar Dubey,jbassi@example.com,9.15664E+11,Tezpur,311501,2024-07-22,Regular
12059049,Jagdish Mander,wpall@example.net,9.14436E+11,Nizamabad,696590,2024-09-23,Regular
69925688,Yashica Sehgal,igola@example.net,9.16177E+11,Nandyal,920703,2024-02-25,Inactive
88866835,Osha Dora,ebatta@example.net,9.13251E+11,South Dumdum,65460,2023-11-01,Premium
67092149,Daksh Atwal,indiratrivedi@example.com,9.19692E+11,Davanagere,619381,2023-12-16,Premium
59329145,William Guha,lshenoy@example.org,9.12059E+11,Gulbarga,776510,2024-08-30,Regular
74179536,Hitesh Ray,amairasodhi@example.net,9.14446E+11,Nizamabad,835800,2024-10-14,Inactive
14428954,Viraj Tank,otalwar@example.com,9.17349E+11,Medininagar,607637,2024-10-22,Premium
98858383,Janani Gill,vrinda77@example.org,9.18704E+11,Dehri,875536,2023-12-31,Regular
30065862,Urishilla Hegde,ydeo@example.org,9.104E+11,Allahabad,911359,2024-09-02,Regular
35156679,Chakradev Verma,vincent13@example.com,9.10123E+11,Etawah,954583,2024-01-07,Premium
89910157,Dayamai Ray,jdate@example.com,9.12655E+11,Khandwa,166001,2023-03-19,New
1989720,Anusha Bahri,hemanginigour@example.org,9.17371E+11,Saharanpur,232753,2023-11-10,Inactive
12402437,Kamala Rama,raymegha@example.net,9.10025E+11,Rajahmundry,126465,2024-06-29,New
13284996,Irya Dayal,shamanbir@example.org,9.14376E+11,Phagwara,363237,2024-04-11,Regular
89995124,Gauri Butala,ranveeranne@example.org,9.15746E+11,Muzaffarpur,833041,2023-10-29,Premium
24043135,Edhitha Bassi,chavvijohal@example.com,9.19376E+11,Bijapur,339705,2024-10-01,Inactive
3292927,Nisha Iyer,vdalia@example.org,9.10256E+11,Rewa,320465,2024-01-12,New
75984768,Dev Deshpande,tsarkar@example.org,9.12325E+11,Guwahati,737567,2024-08-05,Regular
62068277,Zarna Shetty,kumerzansi@example.org,9.13152E+11,Hosur,397881,2024-03-03,Regular
42872865,Vasatika Chatterjee,ishwar92@example.com,9.18246E+11,Bulandshahr,876401,2023-10-09,Inactive
59216664,Netra Keer,yauvanikhare@example.net,9.10581E+11,Deoghar,284974,2023-03-22,Regular
34761418,Nitesh De,faraj44@example.net,9.16028E+11,Bhilwara,401933,2024-08-19,New
50760752,Yug Varughese,kapooravi@example.org,9.16862E+11,Maheshtala,100658,2023-03-17,New
26592009,Michael Dhingra,mdasgupta@example.org,9.18994E+11,Adoni,16283,2023-11-02,Premium
5140660,Tripti Loke,anika70@example.com,9.16101E+11,Akola,164050,2023-08-18,Inactive
14944819,Triya Patla,fradonarayan@example.net,9.14478E+11,Anand,469217,2023-11-24,Premium
85519349,Harshil Kari,dayalguneet@example.org,9.1933E+11,Anand,99406,2023-12-07,New
76987910,Oeshi Kannan,manderowen@example.com,9.10479E+11,Shahjahanpur,847001,2024-03-08,Inactive
97111069,Megha Hora,inaya49@example.com,9.1855E+11,North Dumdum,143574,2024-02-16,Inactive
51547198,Kashvi Date,saksham00@example.org,9.15491E+11,Agartala,730715,2024-08-04,Premium
76512976,Yashica Pathak,baradlajita@example.com,9.10178E+11,Belgaum,874947,2024-07-27,New
88067569,Aayush Sengupta,lekha10@example.com,9.13368E+11,Gaya,288459,2023-12-25,Premium
77559557,Akshay Varty,balendra63@example.com,9.17909E+11,Madurai,639717,2023-08-28,New
5277675,Vansha Deol,hariaarna@example.net,9.19054E+11,Ghaziabad,373380,2024-10-22,Premium
77862447,Tejas Doshi,yashawini78@example.org,9.15361E+11,Bally,410832,2023-07-14,New
6247821,Mekhala Vora,gardequincy@example.org,9.17853E+11,Panvel,691869,2023-07-15,Regular
87107263,Lakshmi Arora,parmarvansha@example.org,9.18888E+11,Vijayawada,784029,2024-10-02,Inactive
60728956,Andrew Nigam,nitara58@example.net,9.12558E+11,Khandwa,785737,2023-06-26,Premium
84824280,Kamya Narayan,bhavyabakshi@example.com,9.10116E+11,Ongole,989821,2024-05-09,Inactive
96795047,Osha Desai,rachitabehl@example.org,9.15335E+11,Chittoor,679019,2024-05-03,New
94730288,Idika Bath,yuglall@example.net,9.14984E+11,Rampur,721290,2023-07-04,Regular
44410149,Dhruv Patel,brarmitesh@example.net,9.11126E+11,Pondicherry,600152,2023-05-18,New
43431724,Jack Kalita,calebdewan@example.com,9.12844E+11,Rohtak,217110,2023-11-26,New
10524732,Bhavna Ramesh,esingh@example.org,9.15867E+11,Rajahmundry,134704,2023-11-16,Regular
67701771,Gaurav Sodhi,nsibal@example.net,9.10988E+11,Mathura,928001,2023-11-14,Premium
26199489,Aarna Gola,hemang36@example.org,9.15849E+11,Serampore,555849,2024-07-15,Inactive
10769994,Tripti Tandon,aradhana79@example.org,9.17982E+11,Begusarai,766033,2023-05-07,Regular
57833505,Pooja Nadkarni,parmarvasatika@example.org,9.16008E+11,Thrissur,805070,2024-01-10,New
83298567,Vansha Kuruvilla,xalak62@example.com,9.12911E+11,Asansol,149383,2024-10-02,Premium
84848018,Jackson Roy,janijanaki@example.org,9.19468E+11,Alappuzha,275189,2023-06-26,Regular
79169760,Benjamin Kant,hkhalsa@example.com,9.14211E+11,Nagaon,233710,2024-09-12,New
94529626,Gavin Kaur,ldubey@example.net,9.10041E+11,Pudukkottai,762221,2023-12-06,New
88324928,Geetika Nanda,jpalla@example.org,9.11669E+11,Alappuzha,137999,2023-03-19,Regular
24496983,Vasana Sen,hseshadri@example.org,9.13695E+11,Kamarhati,185526,2023-12-04,Regular
57579640,Sneha Amble,vedantdoctor@example.org,9.18788E+11,Siwan,847223,2023-07-11,Premium
80371626,Yashasvi Divan,oprabhu@example.org,9.19973E+11,Karimnagar,865438,2024-10-02,New
47577193,Chaaya Wable,zvenkatesh@example.net,9.16831E+11,Dehri,410068,2024-02-05,Premium
70372270,Yadavi Garg,dalbir46@example.org,9.13909E+11,Ichalkaranji,993809,2023-08-05,New
